min,max,early,standard,3days,2days,nextday,sameday
1,249,39,39,42,45,52.5,117
250,399,40,43,45.5,52.5,61.25,129
400,649,41,47,58.5,67.5,78.75,141
650,899,42,50,65,75,87.5,150
900,1099,45,55,71.5,82.5,96.25,165
1100,1249,55,65,84.5,97.5,113.75,195
1250,1539,57,70,91,105,122.5,210
1540,1699,60,75,97.5,112.5,131.25,225
1700,1799,62,77,100,116,136,231
1800,1999,65,80,104,120,140,240
2000,2199,70,85,110.5,127.5,148.75,255
2200,2399,75,90,117,135,157.5,270
2400,2599,80,95,123.5,142.5,166.25,285
2600,2799,82,100,130,150,174,300
2800,2899,85,105,136.5,157.5,183.75,315
2900,3049,90,110,143,165,192.5,330
3050,3399,93,112,145,167,195,336
3400,3599,96,114,147,170,198,342
3600,3699,100,115,149.5,172.5,201.25,345
3700,3799,105,120,156,180,210,360
3800,3999,110,125,162.5,187.5,218.75,375
4000,4249,120,135,175.5,202.5,236.25,405
4250,4999,145,175,225,260,300,525
5000,5999,175,210,273,315,367.5,630
6000,6249,200,240,312,360,420,720
6250,6999,215,260,338,390,455,780
7000,7999,230,275,357.5,412.5,481.25,825
8000,8499,240,290,377,435,507.5,870
8500,8999,250,300,390,450,525,900
9000,9499,265,320,416,480,560,960
9500,9999,275,330,429,495,577.5,990
10000,10499,285,340,442,510,595,1020
10500,10999,298,355,461,535,628,1065
11000,11499,310,370,481,555,647.5,1110
11500,11999,320,385,500.5,577.5,673.75,1155
12000,12499,330,395,513.5,592.5,691.25,1185
12500,12999,340,405,525,607,709,1215
13000,13499,345,415,539.5,622.5,726.25,1245
13500,13999,355,425,552.5,637.5,743.75,1275
14000,14499,365,440,572,660,770,1320
14500,14999,375,450,585,675,787.5,1350
15000,15499,385,460,595,690,800,1380
15500,15999,390,470,611,705,822.5,1410
16000,16499,400,480,624,720,840,1440
16500,16999,410,490,637,735,857.5,1470
17000,17499,420,505,656.5,757.5,883.75,1515
17500,17999,425,510,663,765,892,1530
18000,18499,430,515,669.5,772.5,901.25,1545
18500,19000,440,530,689.5,795,927.5,1590
